evrk_section_code,evrk_section_title,evrk_chapter_code,evrk_chapter_title,evrk_group_code,evrk_group_title,evrk_class_code,evrk_class_title,evrk_subclass_code,evrk_subclass_title,object_id
R,"Meninė, pramoginė ir poilsio organizavimo veikla",93,"Sportinė veikla, pramogų ir poilsio organizavimo veikla",932,Pramogų ir poilsio organizavimo veikla,9329,Kita pramogų ir poilsio organizavimo veikla,932900,Kita pramogų ir poilsio organizavimo veikla,261
S,Kita aptarnavimo veikla,94,Narystės organizacijų veikla,941,"Verslininkų, darbdavių ir profesinių narystės organizacijų veikla",9411,Verslininkų ir darbdavių narystės organizacijų veikla,941100,Verslininkų ir darbdavių narystės organizacijų veikla,262
S,Kita aptarnavimo veikla,94,Narystės organizacijų veikla,949,Kitų narystės organizacijų veikla,9490,Kitų narystės organizacijų veikla,949000,Kitų narystės organizacijų veikla,263
S,Kita aptarnavimo veikla,94,Narystės organizacijų veikla,949,Kitų narystės organizacijų veikla,9491,Religinių organizacijų veikla,949110,Religinių bendrijų veikla,264
S,Kita aptarnavimo veikla,95,Kompiuterių ir asmeninių bei namų ūkio reikmenų taisymas,950,Kompiuterių ir asmeninių bei namų ūkio reikmenų taisymas,9500,Kompiuterių ir asmeninių bei namų ūkio reikmenų taisymas,950000,Kompiuterių ir asmeninių bei namų ūkio reikmenų taisymas,265
S,Kita aptarnavimo veikla,95,Kompiuterių ir asmeninių bei namų ūkio reikmenų taisymas,951,Kompiuterių ir ryšių įrangos remontas,9510,Kompiuterių ir ryšių įrangos remontas,951000,Kompiuterių ir ryšių įrangos remontas,266
S,Kita aptarnavimo veikla,96,Kita asmenų aptarnavimo veikla,960,Kita asmenų aptarnavimo veikla,9604,Fizinės gerovės užtikrinimo veikla,960400,Fizinės gerovės užtikrinimo veikla,267
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",011,Vienmečių augalų auginimas,0112,Ryžių auginimas,011200,Ryžių auginimas,268
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",011,Vienmečių augalų auginimas,0113,"Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas",011340,Daržovių auginimas uždarame grunte,269
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",011,Vienmečių augalų auginimas,0115,Tabako auginimas,011500,Tabako auginimas,270
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",012,Daugiamečių augalų auginimas,0121,Vynuogių auginimas,012100,Vynuogių auginimas,271
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",012,Daugiamečių augalų auginimas,0125,"Kitų vaismedžių, uogakrūmių ir riešutmedžių vaisių auginimas",012500,"Kitų vaismedžių, uogakrūmių ir riešutmedžių vaisių auginimas",272
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",012,Daugiamečių augalų auginimas,0129,Kitų daugiamečių augalų auginimas,012900,Kitų daugiamečių augalų auginimas,273
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0141,Pieninių galvijų auginimas,014100,Pieninių galvijų auginimas,274
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0144,Kupranugarių ir Camelidae šeimos gyvūnų auginimas,014400,Kupranugarių ir Camelidae šeimos gyvūnų auginimas,275
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0145,Avių ir ožkų auginimas,014510,Avių auginimas,276
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0145,Avių ir ožkų auginimas,014520,Ožkų auginimas,277
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0146,Kiaulių auginimas,014610,Kiaulių auginimas ir penėjimas mėsai,278
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0147,Naminių paukščių auginimas,014710,Naminių paukščių auginimas mėsai ir kiaušinių gavybai,279
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",014,Gyvulininkystė,0149,Kitų gyvūnų auginimas,014900,Kitų gyvūnų auginimas,280
A,"Žemės ūkis, miškininkystė ir žuvininkystė",01,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",016,Žemės ūkiui būdingų paslaugų ir derliaus apdorojimo veikla,0162,Gyvulininkystei būdingų paslaugų veikla,016200,Gyvulininkystei būdingų paslaugų veikla,281
A,"Žemės ūkis, miškininkystė ir žuvininkystė",02,Miškininkystė ir medienos ruoša,023,Laukinių nemedieninių produktų rinkimas,0230,Laukinių nemedieninių produktų rinkimas,023000,Laukinių nemedieninių produktų rinkimas,282
A,"Žemės ūkis, miškininkystė ir žuvininkystė",03,Žvejyba ir akvakultūra,030,Žvejyba ir akvakultūra,0300,Žvejyba ir akvakultūra,030000,Žvejyba ir akvakultūra,283
A,"Žemės ūkis, miškininkystė ir žuvininkystė",03,Žvejyba ir akvakultūra,032,Akvakultūra,0320,Akvakultūra,032000,Akvakultūra,284
B,Kasyba ir karjerų eksploatavimas,07,Metalų rūdų kasyba,070,Metalų rūdų kasyba,0700,Metalų rūdų kasyba,070000,Metalų rūdų kasyba,285
B,Kasyba ir karjerų eksploatavimas,07,Metalų rūdų kasyba,072,Spalvotųjų metalų rūdų kasyba,0720,Spalvotųjų metalų rūdų kasyba,072000,Spalvotųjų metalų rūdų kasyba,286
B,Kasyba ir karjerų eksploatavimas,07,Metalų rūdų kasyba,072,Spalvotųjų metalų rūdų kasyba,0729,Kitų spalvotųjų metalų rūdų kasyba,072900,Kitų spalvotųjų metalų rūdų kasyba,287
B,Kasyba ir karjerų eksploatavimas,08,Kita kasyba ir karjerų eksploatavimas,080,Kita kasyba ir karjerų eksploatavimas,0800,Kita kasyba ir karjerų eksploatavimas,080000,Kita kasyba ir karjerų eksploatavimas,288
A,"Žemės ūkis, miškininkystė ir žuvininkystė",03,Žvejyba ir akvakultūra,031,Žvejyba,0310,Žvejyba,031000,Žvejyba,289
B,Kasyba ir karjerų eksploatavimas,08,Kita kasyba ir karjerų eksploatavimas,081,"Akmens, smėlio ir molio karjerų eksploatavimas",0812,Smėlio ir žvyro karjerų eksploatavimas; molio ir kaolino kasyba,081200,Smėlio ir žvyro karjerų eksploatavimas; molio ir kaolino kasyba,290
B,Kasyba ir karjerų eksploatavimas,08,Kita kasyba ir karjerų eksploatavimas,089,Niekur kitur nepriskirta kasyba ir karjerų eksploatavimas,0890,Niekur kitur nepriskirta kasyba ir karjerų eksploatavimas,089000,Niekur kitur nepriskirta kasyba ir karjerų eksploatavimas,291
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,100,Maisto produktų gamyba,1000,Maisto produktų gamyba,100000,Maisto produktų gamyba,292
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,103,Vaisių ir daržovių perdirbimas ir konservavimas,1032,"Vaisių, uogų ir daržovių sulčių gamyba",103200,"Vaisių, uogų ir daržovių sulčių gamyba",293
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,105,Pieno produktų gamyba,1050,Pieno produktų gamyba,105000,Pieno produktų gamyba,294
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,106,"Grūdų malimo produktų, krakmolo ir krakmolo produktų gamyba",1061,Grūdų malimo produktų gamyba,106100,Grūdų malimo produktų gamyba,295
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,108,Kitų maisto produktų gamyba,1081,Cukraus gamyba,108100,Cukraus gamyba,296
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,108,Kitų maisto produktų gamyba,1085,Paruoštų valgių ir patiekalų gamyba,108500,Paruoštų valgių ir patiekalų gamyba,297
C,Apdirbamoji gamyba,10,Maisto produktų gamyba,109,Paruoštų pašarų gyvuliams gamyba,1091,Paruoštų pašarų ūkio gyvuliams gamyba,109100,Paruoštų pašarų ūkio gyvuliams gamyba,298
C,Apdirbamoji gamyba,11,Gėrimų gamyba,110,Gėrimų gamyba,1107,"Nealkoholinių gėrimų gamyba; mineralinio ir kito, pilstomo į butelius, vandens gamyba",110700,"Nealkoholinių gėrimų gamyba; mineralinio ir kito, pilstomo į butelius, vandens gamyba",299
C,Apdirbamoji gamyba,13,Tekstilės gaminių gamyba,131,Tekstilės pluoštų paruošimas ir verpimas,1310,Tekstilės pluoštų paruošimas ir verpimas,131000,Tekstilės pluoštų paruošimas ir verpimas,300
C,Apdirbamoji gamyba,13,Tekstilės gaminių gamyba,132,Tekstilės audimas,1320,Tekstilės audimas,132010,Lininių audinių audimas,301
C,Apdirbamoji gamyba,13,Tekstilės gaminių gamyba,133,Tekstilės apdaila,1330,Tekstilės apdaila,133000,Tekstilės apdaila,302
C,Apdirbamoji gamyba,13,Tekstilės gaminių gamyba,139,Kitų tekstilės gaminių ir dirbinių gamyba,1393,Kilimų ir kilimėlių gamyba,139300,Kilimų ir kilimėlių gamyba,303
C,Apdirbamoji gamyba,14,Drabužių siuvimas (gamyba),141,"Drabužių, išskyrus kailinius drabužius, siuvimas (gamyba)",1410,"Drabužių, išskyrus kailinius drabužius, siuvimas (gamyba)",141000,"Drabužių, išskyrus kailinius drabužius, siuvimas (gamyba)",304
C,Apdirbamoji gamyba,14,Drabužių siuvimas (gamyba),141,"Drabužių, išskyrus kailinius drabužius, siuvimas (gamyba)",1413,Kitų viršutinių drabužių siuvimas,141320,Moteriškų viršutinių drabužių siuvimas,305
